File,Date,collector,Block,ID,Stem Length,Stem Count,Damage
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,95,9,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,96,16.5,16,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,97,11.5,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,98,10.5,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,99,21.5,14,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,100,12.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,101,7.5,4,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,102,13,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,103,8.5,5,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,104,10.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,105,16.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,106,9.5,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,107,11.5,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,108,20,13,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,109,11,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,110,13,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,111,19,11,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,112,19,11,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,113,21,16,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,114,10,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,115,16,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,116,9,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,117,8.5,10,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,118,16.5,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,119,16,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,120,19,11,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,121,14.5,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,122,11,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,123,8.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,124,10,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,125,6.5,14,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,126,11,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,127,16,11,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,128,12.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,129,16,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,130,8.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,131,13.5,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,132,19,5,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,133,13,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,134,3,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,135,9,9,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,136,17.5,16,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,137,14.5,14,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,138,12,5,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,139,23.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,140,12.5,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,141,9.5,15,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,142,16.5,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,143,21,5,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,144,15.5,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,145,4.5,2,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,146,8.5,6,1
